TASK ID,PRIORITY,SURFACE,PROBLEM,EVIDENCE,ROOT CAUSE,FILES,DATABASE TABLES,DEPENDENCIES,SAFE PARALLEL LANE,ASSIGNED AGENT TYPE,ESTIMATED ENGINEERING HOURS,IMPLEMENTATION,TEST,ACCEPTANCE CRITERIA,ROLLBACK,BLOCKS TESTERS,BLOCKS DEPLOYMENT,STATUS
P0-01,P0,Security,Make Adyen webhook validation fail closed,unit and feature tests for absent/invalid/valid HMAC,Current source/evidence does not satisfy the stated Security control boundary; see inventory and wiring trace.,app/Services/AdyenPaymentGateway.php; tests/Feature/UrbanGoodzPaymentAuditTest.php,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,8,Make Adyen webhook validation fail closed,unit and feature tests for absent/invalid/valid HMAC,Missing key or signature is rejected; valid signed fixture passes,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-02,P0,Security,Remove Admin submitted password from client cookie,focused auth tests and cookie inspection,Current source/evidence does not satisfy the stated Security control boundary; see inventory and wiring trace.,app/Http/Controllers/LoginController.php; tests/Feature/AdminLoginRecoveryRegressionTest.php,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,Claude auth owner coordination,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,8,Remove Admin submitted password from client cookie,focused auth tests and cookie inspection,No password or reversible credential material is placed in response cookies/logs/session flash,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-03,P0,Authorization,Add dedicated permissions to driver payout mutation routes,allow/deny feature tests for non-primary Admins,Current source/evidence does not satisfy the stated Authorization control boundary; see inventory and wiring trace.,routes/admin.php; app/Http/Controllers/Admin/UrbanGoodz/UrbanGoodzDedicatedRouteController.php; permission tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,16,Add dedicated permissions to driver payout mutation routes,allow/deny feature tests for non-primary Admins,view and manage permissions are distinct; approve/pay/reject deny unauthorized Admins,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-04,P0,Authorization,Expose driver pricing and payout permissions in custom-role UI,role persistence and middleware behavioral tests,Current source/evidence does not satisfy the stated Authorization control boundary; see inventory and wiring trace.,resources/views/admin-views/custom-role/create.blade.php; resources/views/admin-views/custom-role/edit.blade.php; role tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-03,"LANE A — Admin, authentication, permissions, security",Senior full-stack domain engineer,8,Expose driver pricing and payout permissions in custom-role UI,role persistence and middleware behavioral tests,Non-primary role can be granted view/manage independently,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-05,P0,Financial Control,Enforce pricing safety flags before any payout or wallet mutation,behavioral tests for every boolean combination,Current source/evidence does not satisfy the stated Financial Control control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/UrbanGoodzDriverPricingService.php; app/Models/UrbanGoodzDriverPricingPolicy.php; pricing tests,urban_goodz_driver_pricing_policies; urban_goodz_driver_earnings; delivery_man_wallets,None,"LANE B — Database, orders, payments, ledgers",Senior full-stack domain engineer,24,Enforce pricing safety flags before any payout or wallet mutation,behavioral tests for every boolean combination,recommendation-only never mutates; admin approval blocks; sandbox never touches live balances,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-06,P0,Financial Control,Separate AI recommendation from authoritative payout calculation,deterministic fixtures and provider-failure tests,Current source/evidence does not satisfy the stated Financial Control control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/DynamicPricingService.php; app/Services/UrbanGoodz/UrbanGoodzDriverPricingService.php; pricing tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,P0-05,"LANE B — Database, orders, payments, ledgers",Senior full-stack domain engineer,24,Separate AI recommendation from authoritative payout calculation,deterministic fixtures and provider-failure tests,AI output creates a proposal only; deterministic reviewed policy produces payable amount,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-07,P0,Financial Control,Stop approved earnings from silently crediting wallets,transactional earning/wallet/approval tests,Current source/evidence does not satisfy the stated Financial Control control boundary; see inventory and wiring trace.,app/Services/UrbanGoodz/UrbanGoodzDriverPricingService.php; app/Models/DeliveryManWallet.php; earning tests,urban_goodz_driver_earnings; delivery_man_wallets,P0-05,"LANE B — Database, orders, payments, ledgers",Senior full-stack domain engineer,24,Stop approved earnings from silently crediting wallets,transactional earning/wallet/approval tests,wallet changes only at one explicit idempotent settlement boundary,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-08,P0,Financial Control,Implement idempotent payout settlement and reversal lifecycle,processor sandbox contract and ledger reconciliation evidence,Current source/evidence does not satisfy the stated Financial Control control boundary; see inventory and wiring trace.,app/Http/Controllers/Admin/UrbanGoodz/UrbanGoodzDedicatedRouteController.php; payout provider/service; ledger tests,urban_goodz_driver_payout_requests; urban_goodz_driver_earnings; urban_goodz_payment_ledgers,P0-03,"LANE B — Database, orders, payments, ledgers",Senior full-stack domain engineer,40,Implement idempotent payout settlement and reversal lifecycle,processor sandbox contract and ledger reconciliation evidence,paid means provider-confirmed; retries do not duplicate; reversal is auditable,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-09,P0,AI Chief of Staff,Add visible Admin navigation and dedicated permission,browser visibility and direct-route allow/deny tests,Current source/evidence does not satisfy the stated AI Chief of Staff control boundary; see inventory and wiring trace.,routes/admin_ai_operations.php; resources/views/layouts/admin/partials/_sidebar.blade.php; permission templates; route tests,See URBAN_GOODZ_DATABASE_TABLE_USAGE_MATRIX.csv; no production mutation authorized,None,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,16,Add visible Admin navigation and dedicated permission,browser visibility and direct-route allow/deny tests,authorized Admin sees entry; restricted Admin cannot infer content,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
P0-10,P0,AI Chief of Staff,Make Chief of Staff page GET read-only,DB before/after behavioral test,Current source/evidence does not satisfy the stated AI Chief of Staff control boundary; see inventory and wiring trace.,app/Http/Controllers/Admin/AiOperationsController.php; app/Services/UrbanGoodz/AiChiefOfStaffService.php; feature tests,business_needs; human_action_items; ai_tasks; ai_approvals,P0-09,"LANE G — AI, dynamic pricing, load sourcing",Senior AI/backend safety engineer,16,Make Chief of Staff page GET read-only,DB before/after behavioral test,GET performs zero inserts/updates/deletes,Revert the task commit and restore the reviewed pre-change state; use domain-specific data reversal only from an approved backup/runbook.,YES,YES,NOT STARTED
