migration,verdict,tables,detail
0000_00_00_000000_create_websockets_statistics_entries_table,"ALREADY REPRESENTED",websockets_statistics_entries,"baseline already contains: websockets_statistics_entries"
2014_10_12_000000_create_users_table,"ALREADY REPRESENTED",users,"baseline already contains: users"
2014_10_12_000001_create_modules_table,"ALREADY REPRESENTED",modules,"baseline already contains: modules"
2016_06_01_000001_create_oauth_auth_codes_table,"ALREADY REPRESENTED",oauth_auth_codes,"baseline already contains: oauth_auth_codes"
2016_06_01_000002_create_oauth_access_tokens_table,"ALREADY REPRESENTED",oauth_access_tokens,"baseline already contains: oauth_access_tokens"
2016_06_01_000003_create_oauth_refresh_tokens_table,"ALREADY REPRESENTED",oauth_refresh_tokens,"baseline already contains: oauth_refresh_tokens"
2016_06_01_000004_create_oauth_clients_table,"ALREADY REPRESENTED",oauth_clients,"baseline already contains: oauth_clients"
2016_06_01_000005_create_oauth_personal_access_clients_table,"ALREADY REPRESENTED",oauth_personal_access_clients,"baseline already contains: oauth_personal_access_clients"
2022_03_31_103418_create_wallet_transactions_table,"ALREADY REPRESENTED",wallet_transactions,"baseline already contains: wallet_transactions"
2022_03_31_103827_create_loyalty_point_transactions_table,"ALREADY REPRESENTED",loyalty_point_transactions,"baseline already contains: loyalty_point_transactions"
2022_04_09_161150_add_wallet_point_columns_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (2) [idempotent guard present - safe to re-run]"
2022_04_10_030533_create_newsletters_table,"ALREADY REPRESENTED",newsletters,"baseline already contains: newsletters"
2022_04_12_015827_create_social_media_table,"ALREADY REPRESENTED",social_media,"baseline already contains: social_media"
2022_04_12_215009_create_jobs_table,"ALREADY REPRESENTED",jobs,"baseline already contains: jobs"
2022_04_21_145207_add_column_to_modules_table,UNKNOWN,,
2022_05_09_235959_create_zones_table_if_missing,"ALREADY REPRESENTED",zones,"baseline already contains: zones [idempotent guard present - safe to re-run]"
2022_05_10_000000_create_customer_addresses_table,"ALREADY REPRESENTED",customer_addresses,"baseline already contains: customer_addresses"
2022_05_14_122133_add_dm_tips_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2022_05_14_122603_add_dm_tips_column_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2022_05_14_155444_add_all_zones_column_to_modules_table,"ALREADY REPRESENTED",modules,"all added columns present in baseline (1)"
2022_05_17_153333_add_ref_code_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (1)"
2022_05_26_120821_change_data_column_to_user_notifiations_table,"ALREADY REPRESENTED",user_notifications,"all added columns present in baseline (1)"
2022_07_31_103626_add_free_delivery_by_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2022_09_10_112137_create_user_infos_table,"ALREADY REPRESENTED",user_infos,"baseline already contains: user_infos"
2022_09_10_112203_create_conversations_table,"ALREADY REPRESENTED",conversations,"baseline already contains: conversations"
2022_09_10_112220_create_messages_table,"ALREADY REPRESENTED",messages,"baseline already contains: messages"
2022_10_18_092639_create_refunds_table,"ALREADY REPRESENTED",refunds,"baseline already contains: refunds"
2022_10_18_093323_add_refund_request_cancel_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2022_10_18_093529_create_refund_reasons_table,"ALREADY REPRESENTED",refund_reasons,"baseline already contains: refund_reasons"
2022_10_19_150319_add_delivery_column_to_parcel_categories_table,"ALREADY REPRESENTED",parcel_categories,"all added columns present in baseline (2)"
2022_10_19_165501_add_default_link_column_to_banners_table,"ALREADY REPRESENTED",banners,"all added columns present in baseline (1)"
2022_10_20_105050_module_zone,"ALREADY REPRESENTED",module_zone,"baseline already contains: module_zone [idempotent guard present - safe to re-run]"
2022_10_22_115553_add_is_logged_column_to_admins_table,"ALREADY REPRESENTED",admins,"all added columns present in baseline (1)"
2022_10_22_122336_add_is_logged_column_to_vendor_employees_table,"ALREADY REPRESENTED",vendor_employees,"all added columns present in baseline (1)"
2022_10_25_153214_add_payment_method_columns_to_zones_table,"ALREADY REPRESENTED",zones,"all added columns present in baseline (2)"
2022_10_31_165427_add_rename_delivery_charge_column_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2022_11_05_094404_add_delivery_fee_comission_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2022_11_13_130054_create_contacts_table,"ALREADY REPRESENTED",contacts,"baseline already contains: contacts"
2022_11_15_111925_create_expenses_table,"ALREADY REPRESENTED",expenses,"baseline already contains: expenses"
2022_11_15_112413_add_expense_column_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2022_12_20_104455_add_food_variations_column_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2022_12_21_154227_alter_table_order_details_change_variation,"ALREADY REPRESENTED",order_details,"all added columns present in baseline (1)"
2022_12_29_103803_add_order_id_column_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (1)"
2022_12_29_105321_add_maximum_cod_order_amount_column_to_module_zone_table,"ALREADY REPRESENTED",module_zone,"all added columns present in baseline (1)"
2022_12_29_114005_add_prescription_order_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2022_12_31_111437_create_notification_messages_table,"ALREADY REPRESENTED",notification_messages,"baseline already contains: notification_messages"
2023_01_02_112948_create_tags_table,"ALREADY REPRESENTED",tags,"baseline already contains: tags"
2023_01_02_113235_item_tag,"ALREADY REPRESENTED",item_tag,"baseline already contains: item_tag"
2023_01_03_093510_add_current_language_key_column_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (1)"
2023_01_07_115354_add_prescription_order_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2023_01_07_180000_add_description_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (2)"
2023_01_10_124723_add_food_variations_column_to_item_campaigns_table,"ALREADY REPRESENTED",item_campaigns,"all added columns present in baseline (1)"
2023_01_10_145928_change_refund_amount_column_type,"ALREADY REPRESENTED",refunds,"all added columns present in baseline (1)"
2023_01_10_150108_change_amount_column_type,"ALREADY REPRESENTED",withdraw_requests,"all added columns present in baseline (1)"
2023_01_23_103943_add_slug_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2023_01_23_144001_add_slug_to_categories_table,"ALREADY REPRESENTED",categories,"all added columns present in baseline (1)"
2023_01_23_144119_add_slug_to_item_campaigns_table,"ALREADY REPRESENTED",item_campaigns,"all added columns present in baseline (1)"
2023_01_23_144232_add_slug_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2023_01_23_144828_add_tax_status_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_01_30_114113_change_delivery_charge_column_type_to_admin_wallets_table,"ALREADY REPRESENTED",admin_wallets,"all added columns present in baseline (1)"
2023_02_19_164536_create_visitor_logs_table,"ALREADY REPRESENTED",visitor_logs,"baseline already contains: visitor_logs"
2023_02_25_133200_create_d_m_vehicles_table,"ALREADY REPRESENTED",d_m_vehicles,"baseline already contains: d_m_vehicles"
2023_02_25_133302_add_vehicle_id_column_to_delivery_men_table,"ALREADY REPRESENTED",delivery_men,"all added columns present in baseline (1)"
2023_02_25_133409_add_vehicle_id_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_02_25_163329_add_maximum_delivery_charge_column_to_module_zone_table,"ALREADY REPRESENTED",module_zone,"all added columns present in baseline (1)"
2023_02_25_175825_add_otp_hit_count_cols_in_phone_verifications_table,"ALREADY REPRESENTED",phone_verifications,"all added columns present in baseline (3)"
2023_02_25_175912_add_hit_count_at_col_in_password_resets_table,"ALREADY REPRESENTED",password_resets,"all added columns present in baseline (3)"
2023_02_26_144503_add_campaign_status_to_campaign_store_table,"ALREADY REPRESENTED",campaign_store,"all added columns present in baseline (1)"
2023_02_26_162224_add_recommened_to_items_table,"ALREADY REPRESENTED",items,"all added columns present in baseline (1)"
2023_02_27_102931_add_ref_by_col_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (1)"
2023_02_27_111635_create_order_cancel_reasons_table,"ALREADY REPRESENTED",order_cancel_reasons,"baseline already contains: order_cancel_reasons"
2023_02_27_111937_add_cancellation_reason_col_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (2)"
2023_02_27_161418_add_created_by_columns_to_coupons_table,"ALREADY REPRESENTED",coupons,"all added columns present in baseline (4)"
2023_02_27_161533_add_created_by_columns_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (2)"
2023_02_27_162252_add_store_expense_columns_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2023_02_27_162357_add_coupon_created_by_columns_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_03_01_154319_add_maximum_delivery_charge_column_to_stores_table,"ALREADY REPRESENTED",stores,"all added columns present in baseline (1)"
2023_03_02_103114_add_discount_on_product_by_column_to_orders_table,"ALREADY REPRESENTED",orders,"all added columns present in baseline (1)"
2023_03_02_143919_change_amount_column_to_expenses_table,"ALREADY REPRESENTED",expenses,"all added columns present in baseline (2)"
2023_03_02_144258_add_discount_amount_by_store_col_to_order_transactions_table,"ALREADY REPRESENTED",order_transactions,"all added columns present in baseline (1)"
2023_03_11_120645_add_temp_block_time_col_to_phone_verifications_table,"ALREADY REPRESENTED",phone_verifications,"all added columns present in baseline (1)"
2023_03_11_121000_add_temp_block_time_col_to_password_resets_table,"ALREADY REPRESENTED",password_resets,"all added columns present in baseline (1)"
2023_03_13_181502_add_temp_token_column_to_users_table,"ALREADY REPRESENTED",users,"all added columns present in baseline (3)"
2023_04_05_112916_add_created_by_col_to_password_resets_table,"ALREADY REPRESENTED",password_resets,"all added columns present in baseline (1)"
2023_05_04_100012_create_data_settings_table,"ALREADY REPRESENTED",data_settings,"baseline already contains: data_settings"
2023_05_04_100930_create_admin_promotional_banners_table,"ALREADY REPRESENTED",admin_promotional_banners,"baseline already contains: admin_promotional_banners"
2023_05_04_101825_create_admin_features_table,"ALREADY REPRESENTED",admin_features,"baseline already contains: admin_features"
2023_05_04_102015_create_admin_special_criterias_table,"ALREADY REPRESENTED",admin_special_criterias,"baseline already contains: admin_special_criterias"
