ID,Product Surface,Role,Module,Page/Screen,Route,Control,Expected Behaviour,Actual Behaviour,Backend Endpoint,Database Effect,Payment Effect,Notification Effect,Permission,Evidence,Status,Severity,Owner Agent,Dependency,Fix Commit,Test Result,Production Blocker,Notes
P0-1,Vendor mobile,Vendor,Auth,Vendor onboarding/login,vendor_onboarding_screen.dart,Login submit,Real backend login issues session token,Shipped APK uses 700ms delayed mock and hardcoded vendor@urbangoodz.com,POST auth/vendor/login,none in APK build,none,none,public,git grep c633cec vendor_onboarding_screen.dart:62/102/103,BROKEN,P0,Lane 1,Rebuild APK from c2ddf50,ca6f790,50/50 on branch not in APK,YES,Fix exists on branch but is NOT in the distributed artifact
P0-1b,Driver mobile,Driver,Auth,Driver onboarding/login,driver_onboarding_screen.dart,Login submit,Real backend login issues session token,Shipped APK predates real-login commit,POST driver login,none in APK build,none,none,public,git merge-base c633cec ancestor of recovery branch,BROKEN,P0,Lane 2,Rebuild APK from 76de2f8+,e6dcf06,54 passing on branch not in APK,YES,Same staleness class as P0-1
P0-1c,Shopper mobile,Shopper,Multiple,6 preview/placeholder screens,various,Various submit controls,No fabricated success,Shipped APK still fabricates success,various,none,none,none,public,git log 663f4db..claude-shopper-p0-recovery,BROKEN,P0,UNASSIGNED,Rebuild APK,33e8c4b 1e0b1d6 580c3d4 bc87c67,not run,YES,Shopper lane has no owning agent
P0-2,Backend,Admin,Deployment,All,n/a,n/a,Production runs current code,Production is 40 backend commits behind,n/a,unknown,unknown,unknown,n/a,git rev-list --count 3037ce7e..46f2cc1 = 41 (40 backend + 1 docs),BROKEN,P0,UNASSIGNED,Owner approval to deploy,1e1d19f d5e4820 a4ed5fe ebb7fbb,not run,YES,Includes admin login and 500-error repairs
P0-3,Shopper mobile,Shopper,SCM,n/a,n/a,n/a,Work has a remote copy,claude-shopper-p0-recovery never pushed,n/a,none,none,none,n/a,git for-each-ref refs/remotes/origin,BLOCKED,P0,UNASSIGNED,none,n/a,n/a,YES,Single point of failure - one disk only
P0-4,Backend,All,Test,n/a,n/a,n/a,Auth authz money privacy suites pass,Never executed against any isolated DB,n/a,none,none,none,n/a,Lane 3 task 4 NOT STARTED,NOT_AUDITED,P0,Lane 3,Staging boot,n/a,not run,YES,No evidence backend authz or money is correct
P0-5,Backend,Vendor,Auth,Vendor password reset,VendorPasswordResetController,Reset request,Indistinguishable response for unknown account,Enumerable,POST vendor password reset,password_resets,none,email,public,Lane 3 task 5 pending,BROKEN,P0,Lane 3,none,n/a,not run,YES,Security defect
P0-6,Driver mobile,Driver,Marketplace,Load board / active jobs,multiple,Lifecycle transitions,Every transition hits a verified real endpoint with ownership checks,~332 lines uncommitted and untested,various urban-goodz/driver,unknown,unknown,unknown,driver auth,git diff --stat 2026-07-25,PARTIAL,P0,Lane 2,Backend contracts,uncommitted,not run,YES,In progress this session
P1-1,Vendor mobile,Vendor,Dashboard,Vendor dashboard,vendor dashboard,Revenue chart,Chart shows real revenue by day,Always empty - fetchDashboard never populates revenueChart and no endpoint exists,MISSING,none,none,none,vendor auth,Lane 1 report,BROKEN,P1,Lane 1,Lane 3 contract,c2ddf50 handles empty safely,9 chart tests,NO,Empty state is correct behaviour given missing endpoint
P1-4,Repo hygiene,n/a,SCM,n/a,n/a,n/a,Clean working tree,15 untracked audit docs in UrbanGoodz2026-Revised,n/a,none,none,none,n/a,git status,PARTIAL,P1,PM,none,n/a,n/a,NO,Decide keep or discard
P1-5,Build,n/a,SCM,n/a,windows/flutter/generated_plugin_*,n/a,No spurious diffs,CRLF-only churn after every flutter run,n/a,none,none,none,n/a,Lanes 1-2,PARTIAL,P1,PM,none,n/a,n/a,NO,Needs .gitattributes
LIVE-1,Admin portal,Admin,Web,Root,/,n/a,Redirect to admin login,302 to /login/admin,n/a,none,none,none,public,curl 2026-07-25,VERIFIED,P2,PM,none,n/a,n/a,NO,Unauthenticated reachability only
LIVE-2,Backend API,All,API,Config,/api/v1/config,n/a,HTTP 200 JSON config,200 with business config JSON,GET /api/v1/config,none,none,none,public,curl 2026-07-25,VERIFIED,P2,PM,none,n/a,n/a,NO,
LIVE-3,Business portal,Business,Web,Login,/business/login,n/a,HTTP 200 login page,200,n/a,none,none,none,public,curl 2026-07-25,VERIFIED,P2,PM,none,n/a,n/a,NO,Unauthenticated only
LIVE-4,Dispatcher portal,Dispatcher,Web,Login,/dispatcher/login,n/a,Login page or redirect,302 to /,n/a,none,none,none,public,curl 2026-07-25,VERIFIED,P2,PM,none,n/a,n/a,NO,Redirect target differs from business portal - confirm intended
INV-1,All surfaces,All,All,All,All,All controls,Full control-level inventory populated,Not audited,various,unknown,unknown,unknown,various,none,NOT_AUDITED,P1,Lanes 1-3,Phase 3,n/a,not run,NO,Scaffold and discovery method defined - population is assigned work
