WORKFLOW ID,ACTOR,STARTING SCREEN,CONTROL,REQUEST,ENDPOINT,MIDDLEWARE,CONTROLLER,SERVICE,TABLES READ,TABLES WRITTEN,INITIAL STATUS,INTERMEDIATE STATUSES,FINAL STATUS,PAYMENT EFFECT,WALLET EFFECT,LEDGER EFFECT,NOTIFICATION EFFECT,REALTIME EFFECT,NEXT ROLE,FINAL USER-VISIBLE RESULT,FAILURE PATH,ROLLBACK PATH,TEST,EVIDENCE,STATUS
AUTH-ADMIN-01,Admin,Admin login,Sign In,POST,/login_submit,actch,LoginController@submit,Auth guard/admin rate limiter,"admins,admin_roles","sessions/login state",guest,credential and CAPTCHA validation,authenticated or rejected,none,none,none,none,none,Admin dashboard,Dashboard or generic error,Generic failed-login response and rate limiting,Logout/session invalidation,"33 focused PHPUnit tests; Playwright not run","security patch series 4df8e55..6937e5d",TESTED LOCALLY
AUTH-ADMIN-02,Restricted Admin,Admin login then Urban Goodz route,Open protected Business Clients,GET,/admin/urban-goodz/business-clients,"admin,module:urban_goodz_view",UrbanGoodzAdminController/business client handler,ModulePermissionMiddleware,"admins,admin_roles,urban_goodz_business_clients",none,authenticated,permission evaluation,allowed or denied,none,none,none,none,none,Admin portal,Protected content or denial,Redirect/deny without protected data,Session logout,"focused source/runtime authorization tests; browser boundary unexecuted","routes/admin.php module group and AdminLoginRecoveryRegressionTest",TESTED LOCALLY
PUBLIC-VENDOR-01,Prospective vendor,Vendor application,Submit application,POST,/vendor/apply,web CSRF,VendorController@store,StoreLogic,"zones,modules,stores,vendors","vendors,stores,store schedules",unregistered,validation then pending,application created pending approval,possible registration plan payment,none,none,admin/vendor messages possible,none,Admin,Confirmation/final step,Validation and duplicate rejection,Admin rejection/deactivation,"focused required-field and zone-module boundary tests only","routes/web.php:210-221 and VendorController",PARTIALLY WIRED
ADMIN-VENDOR-01,Admin,Pending vendor requests,Approve or deny,POST,/admin/store/update-application/{id}/{status},"admin,module:store",Admin VendorController@update_application,StoreLogic,"vendors,stores","vendors,stores",pending,approved or denied,active/inactive vendor,none,store wallet may later apply,none,email/push code possible,none,Vendor,Vendor may authenticate after activation,Validation/permission denial,Reverse status manually with audit trail required,No trustworthy cross-role E2E,"routes/admin.php store group",PARTIALLY WIRED
BUSINESS-AUTH-01,Business user,Business login,Sign In,POST,/business/login,business guest/auth boundary,BusinessAuthController@login,Auth guard,"urban_goodz_business_client_users,urban_goodz_business_clients",session,guest,credential validation,authenticated,none,none,none,none,none,Business dashboard,Dashboard,Generic login rejection,Logout,"one focused schema-blocked dashboard test","routes/business.php",PARTIALLY WIRED
DISPATCH-01,Dispatcher,Business dispatcher dashboard,Open loads,GET,/business/dispatcher/loads,"business,dispatcher,dispatch-territory",DispatcherPortalController,Load/dispatch services,"loads,drivers,dispatch data",none,authenticated business user,role and territory checks,load list,none,none,none,none,possible location realtime,Dispatcher,Filtered loads,403/redirect/empty territory,none,Prior Playwright used nonexistent /dispatcher paths,"routes/business.php:149+ proves real prefix",PARTIALLY WIRED
BUSINESS-SCAN-01,Business employee,Package scan,Scan package,POST,/business/packages/scan,business,BusinessPortalController@scanStore,Package/intake logic,"business clients,route packages,scan tables","package scan/intake rows",package available,scanned then pooled/assigned,stored scan,none,none,none,possible in-app notification,none,Business dispatcher,Package appears in pool/route,Invalid or out-of-scope package rejection,Exception/reversal workflow not proven,No scanner-to-DB E2E,"routes/business.php:40-42; Blade scanner controls; scan models",PARTIALLY WIRED
DRIVER-COURIER-01,Driver,Assigned business job,Accept/start/pickup/deliver,POST,/api/v1/urban-goodz/driver/business-jobs/{id}/{action},dm.api,UrbanGoodzDriverBusinessCourierController,Driver courier workflow,"business jobs,drivers,proof/audit tables","job status,proof,exceptions",assigned,accepted-started-picked_up,delivered,driver payout may be calculated,driver wallet effect unproven,ledger effect unproven,dispatch notifications,location realtime possible,Business/dispatcher,Delivered with proof,Scope/status/eligibility rejection,Exception path exists,"backend security/behavior tests; mobile E2E absent","routes/api/v1/urban_goodz.php:192-200 and driver API service",PARTIALLY WIRED
SHOPPER-ORDER-01,Customer,Checkout,Place Order,POST,/api/v1/customer/order/place,"auth:api or guest/order middleware",Api V1 OrderController@place_order,PlaceNewOrder trait,"carts,items,stores,users,orders","orders,order_details,transactions",cart,validation/payment/assignment,pending or confirmed,payment request/capture path,store/admin/driver wallet effects in downstream logic,order transaction/ledger paths,customer/vendor/driver notifications,order tracking events possible,Vendor then driver,Order confirmation/tracking,Validation/payment/store availability failure,refund/cancel paths,No trustworthy cross-role E2E,"routes/api/v1/api.php:423; PlaceNewOrder.php","BLOCKED"
VENDOR-ORDER-01,Vendor,Current orders,Update order status,PUT,/api/v1/vendor/update-order-status,"vendor.api,actch:vendor_app",Api V1 Vendor VendorController@update_order_status,OrderLogic,"orders,order_details,stores","orders",pending,confirmed-processing-ready,fulfilled/canceled,refund/capture may follow,store wallet effect downstream,transaction records downstream,customer/driver notifications,none,Driver/customer,Updated order,Invalid transition/ownership denial,Cancel/refund path,No trustworthy mobile workflow,"routes/api/v1/api.php:177-185",PARTIALLY WIRED
