SURFACE,FEATURE,CURRENT STATE,MATURITY SCORE,EVIDENCE,BLOCKER
PUBLIC WEBSITE,Homepage and navigation,PARTIALLY WIRED,3,"routes/web.php; public Blade controls in source census","No current live behavioral certification"
PUBLIC WEBSITE,Language selection,PARTIALLY WIRED,3,"localization middleware/views and language controls","Live persistence not verified"
PUBLIC WEBSITE,Location city and zone selection,PARTIALLY WIRED,3,"zone/location controllers, APIs, map controls","No trustworthy browser workflow"
PUBLIC WEBSITE,Store and product listings,PARTIALLY WIRED,3,"public controllers/views and shopper APIs","Final shopper visibility not certified"
PUBLIC WEBSITE,Search,PARTIALLY WIRED,3,"search routes/controllers/views","No final-state E2E artifact"
PUBLIC WEBSITE,Vendor registration,PARTIALLY WIRED,4,"VendorController validation plus focused source-boundary tests","Approval/login/shopper visibility chain not certified"
PUBLIC WEBSITE,Driver registration,PARTIALLY WIRED,3,"dm-registration Blade and controller routes","No approval-to-driver-login E2E"
PUBLIC WEBSITE,Business application and login,PARTIALLY WIRED,3,"business routes, views, guard, models","Schema drift blocks reproducible execution"
PUBLIC WEBSITE,Creator and service-provider application,PARTIALLY WIRED,3,"routes/controllers/views exist","Provider approval and downstream work unverified"
PUBLIC WEBSITE,Terms privacy support contact FAQs,PARTIALLY WIRED,3,"routes and content views exist","Two local source tests skipped on drift; live unknown"
ADMIN PORTAL,Login and CAPTCHA,TESTED LOCALLY,4,"security patch series 4df8e55..6937e5d; 33 focused tests artifact","Current production SHA and live authorized login unproven"
ADMIN PORTAL,Forgot password,PARTIALLY WIRED,3,"routes/controller/view and browser link test source","Email delivery unverified"
ADMIN PORTAL,Dashboard and Command Center,PARTIALLY WIRED,3,"dashboard controller/view/routes; permission patch in source","Current live SHA and complete render unproven"
ADMIN PORTAL,Urban Goodz module authorization,TESTED LOCALLY,4,"module middleware/helper and focused regression artifact","Staging browser role boundary not executed"
ADMIN PORTAL,Vendor store customer and driver management,PARTIALLY WIRED,3,"admin route/controller/view families","Cross-role outcomes not certified"
