ID,SURFACE,COMPONENT,PATH OR PATTERN,CLASSIFICATION,RUNTIME REACHABLE,DIRECT EVIDENCE,RISK,REQUIRED DISPOSITION
L6-001,Backend architecture,Core Laravel routes,"routes/web.php; routes/admin.php; routes/vendor.php; routes/api/**",REQUIRED FOUNDATION,YES,"Urban Goodz routes extend the inherited marketplace route estate; removing the core routes would remove current catalog/order/vendor behavior",High if removed,"Retain; document ownership and cover inherited routes with regression tests"
L6-002,Backend architecture,Core controllers,"app/Http/Controllers/** excluding Urban Goodz-specific additions",REQUIRED FOUNDATION,YES,"Admin vendor store item order customer and delivery flows still resolve through inherited controllers",High if removed,"Retain; modernize only behind focused behavior and permission tests"
L6-003,Backend architecture,Core middleware and guards,"app/Http/Middleware/**",REQUIRED FOUNDATION,YES,"Inherited admin vendor API module zone activation and ownership middleware remain in active route stacks",High if bypassed,"Retain; map every protected route to its effective middleware"
L6-004,Backend architecture,Module permission helper,"app/CentralLogics/Helpers.php::module_permission_check; app/Http/Middleware/ModulePermissionMiddleware.php",CUSTOMIZED AND ACTIVE,YES,"Urban Goodz permission names are evaluated through the inherited role/module system",Critical,"Retain as the authorization boundary; never replace it with authentication-only checks"
L6-005,Backend architecture,Core services and helpers,"app/Services/**; app/CentralLogics/**",REQUIRED FOUNDATION,YES,"Current order payment notification routing and marketplace functions call inherited services/helpers",High if removed,"Retain; isolate new Urban Goodz services where boundaries differ"
L6-006,Database,Core marketplace models and tables,"App/Models Item Store Vendor Order OrderDetail OrderTransaction User DeliveryMan and related tables",REQUIRED FOUNDATION,YES,"Dashboard checkout vendor and delivery workflows reference these models/tables",Critical,"Retain; recover the authoritative installation schema before structural changes"
L6-007,Database,Urban Goodz extension models and tables,"app/Models/UrbanGoodz*; urban_goodz_* tables",CUSTOMIZED AND ACTIVE,YES,"New routes/controllers reference the extension models and migrations",High,"Retain; reconcile overlaps with inherited order wallet and ledger tables"
L6-008,Admin UI,Admin layout and navigation,"resources/views/layouts/admin/**",CUSTOMIZED AND ACTIVE,YES,"Sidebar is Urban Goodz branded and contains inherited plus Urban Goodz navigation",Medium,"Retain; label legacy marketplace sections and remove dead links only with route evidence"
L6-009,Authentication,Admin login view,"resources/views/auth/login.blade.php",CUSTOMIZED AND ACTIVE,YES,"Urban Goodz logo copy and command-center illustration are used; focused tests reject visible 6amMart branding",High,"Retain; live verification remains required"
L6-010,Admin analytics,Legacy Marketplace Metrics,"app/Http/Controllers/Admin/DashboardController.php; resources/views/admin-views/dashboard.blade.php",LEGACY BUT STILL REFERENCED,YES,"Live screenshots show the legacy section; source queries mix all-module and module-scoped counts",Critical decision-quality risk,"Separate from Urban Goodz Operations or retire after metric reconciliation"
L6-011,Admin analytics,Legacy marketplace records ranked in production dashboard,"items; stores; vendors; orders; order_transactions",LEGACY DATA,YES,"Live screenshots show 1116 catalog items 130 vendors/providers 0 stores 9 orders and 82 dollars gross sale",Critical data-trust risk,"Run a read-only provenance/orphan/reconciliation report on an approved sanitized production copy"
L6-012,Admin analytics,Demo Product and Carrot Imported,"live dashboard ranking records",DEMO OR TEST DATA,YES,"User-supplied live screenshots show Demo Product and Carrot Imported in Top Selling Items",Critical KPI contamination,"Classify provenance and exclude non-production records from rankings; do not delete without reviewed evidence"
L6-013,Seeders,Default seeder invokes synthetic data seeders,"database/seeders/DatabaseSeeder.php",UNSAFE,YES IF RUN,"Default run calls UserSeeder MeasurementRequestSeeder UrbanGoodzLoadBoardSeeder and UrbanGoodzTestVendorSeeder",Critical production contamination,"Split production-safe reference seeders from explicit local/test seeders; add an environment hard stop"
L6-014,Seeders,Five-thousand fake users,"database/seeders/UserSeeder.php",DEMO OR TEST DATA,YES IF RUN,"User::factory()->count(5000)->create()",Critical if run outside disposable test DB,"Remove from the default seeder chain and require explicit test environment"
L6-015,Seeders,Test vendor/store with disclosed fixed credentials,"database/seeders/UrbanGoodzTestVendorSeeder.php",UNSAFE,YES IF RUN,"Creates an active approved vendor/store and prints a fixed test email and fixed password",Critical account and data contamination,"Remove from default seeder; restrict to disposable E2E fixtures with randomized secret"
