business_name,city,state,original_source_url,issue,recommended_action,pm_review_required
"Island Courier Services",Wharton,TX,"https://www.google.com/search?q=Island%20Courier%20Services+Texas City+TX",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Texas City Soul Food",Angleton,TX,"https://www.google.com/search?q=Texas%20City%20Soul%20Food+Texas City+TX",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Bay City BBQ","Texas City",TX,"https://www.google.com/search?q=Bay%20City%20BBQ+Bay City+TX",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Sha BeBe Cajun Cafe",Clute,TX,"https://www.google.com/search?q=Sha%20BeBe%20Cajun%20Cafe+Port Arthur+TX",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Eaglin Motor Lines",Beaumont,TX,"https://www.google.com/search?q=Eaglin%20Motor%20Lines+Port Arthur+TX",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"The Blk Lifestyle","Los Angeles",CA,"https://www.google.com/search?q=The%20Blk%20Lifestyle+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"ConditionHER Hair","Los Angeles",CA,"https://www.google.com/search?q=ConditionHER%20Hair+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Contented Nail Parlor","Los Angeles",CA,"https://www.google.com/search?q=Contented%20Nail%20Parlor+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Britt Brow","Los Angeles",CA,"https://www.google.com/search?q=Britt%20Brow+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Crystal Eyes Healing","Los Angeles",CA,"https://www.google.com/search?q=Crystal%20Eyes%20Healing+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
"Mae's Courier LA","Los Angeles",CA,"https://www.google.com/search?q=Mae's%20Courier%20LA+Los Angeles+CA",Google-search placeholder URL with unencoded spaces (invalid per FILTER_VALIDATE_URL),Keep excluded; route to manual-review backlog; obtain real website/social/Google Business Profile URL,Yes
